"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-01",99.90873,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-02",99.94628,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-03",99.99301,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-04",100.0377,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-05",100.11,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-06",100.2406,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-07",100.4304,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-08",100.6599,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-09",100.8896,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-10",101.0843,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-11",101.2039,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2005-12",101.2249,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-01",101.1427,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-02",100.9822,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-03",100.7754,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-04",100.5586,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-05",100.3619,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-06",100.2251,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-07",100.187,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-08",100.2425,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-09",100.3301,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-10",100.4008,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-11",100.4299,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2006-12",100.4364,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-01",100.4566,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-02",100.5215,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-03",100.6349,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-04",100.8057,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-05",101.0106,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-06",101.2111,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-07",101.3544,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-08",101.3848,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-09",101.2846,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-10",101.0379,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-11",100.6553,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2007-12",100.1738,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-01",99.63879,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-02",99.09483,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-03",98.57666,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-04",98.10068,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-05",97.67175,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-06",97.29321,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-07",96.99301,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-08",96.77286,
