Symbol Name,MKF500,에너지,화학,금속및광물,기타 소재,건설,조선,기타자본재,상업서비스,운송,자동차및부품,내구소비재및의류,소비자서비스,미디어,유통,음식료및담배,생활용품,의료,은행,보험,증권,기타금융,소프트웨어,하드웨어,반도체,디스플레이,통신서비스,유틸리티,코스피200,코스닥,달러,나스닥100,다우,현금
2001.1.2,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,65,557,1278,2128.78,34.81,100
2001.1.3,1004,998,1026,1002,1034,1030,0,1000,1022,1023,1006,1017,1012,1038,1018,1008,969,1029,997,1018,1023,988,1054,1018,1006,1013,992,986,65,569,1271,2528.38,35.19,100.00548
2001.1.4,1082,1074,1091,1076,1105,1146,0,1068,1077,1084,1058,1048,1063,1094,1096,1025,1009,1079,1054,1068,1174,1083,1169,1088,1129,1097,1054,1028,70,615,1263,2460.04,36.81,100.0109603
2001.1.5,1131,1096,1155,1117,1170,1276,0,1133,1058,1186,1098,1141,1116,1125,1152,1022,989,1080,1113,1227,1301,1083,1240,1112,1175,1098,1091,1061,73,625,1263,2267.85,34.75,100.0164409
2001.1.6,1131,1096,1155,1117,1170,1276,0,1133,1058,1186,1098,1141,1116,1125,1152,1022,989,1080,1113,1227,1301,1083,1240,1112,1175,1098,1091,1061,73,625,1263,2267.85,34.75,100.0219218
2001.1.7,1131,1096,1155,1117,1170,1276,0,1133,1058,1186,1098,1141,1116,1125,1152,1022,989,1080,1113,1227,1301,1083,1240,1112,1175,1098,1091,1061,73,625,1263,2267.85,34.75,100.027403
2001.1.8,1146,1116,1171,1116,1169,1282,0,1162,1090,1173,1132,1159,1127,1136,1164,1026,1015,1114,1120,1287,1312,1094,1241,1138,1171,1098,1103,1056,74,650,1263,2281.54,35.12,100.0328845
2001.1.9,1157,1132,1215,1154,1222,1244,0,1180,1116,1176,1139,1172,1160,1169,1188,1052,1096,1164,1142,1306,1313,1125,1338,1182,1161,1212,1112,1025,74,678,1252,2311.4,32.88,100.0383663
2001.1.10,1098,1082,1126,1186,1107,1156,0,1101,1100,1079,1054,1098,1126,1134,1178,1006,1045,1138,1077,1185,1172,1115,1243,1093,1108,1118,1066,956,70,640,1269,2413.71,32.12,100.0438484
2001.1.11,1110,1077,1129,1175,1126,1202,0,1114,1095,1102,1024,1124,1153,1142,1196,988,1047,1173,1078,1222,1324,1138,1376,1155,1096,1223,1070,950,70,675,1278,2524.29,31.38,100.0493308
2001.1.12,1165,1169,1168,1243,1135,1212,0,1168,1126,1125,1096,1171,1180,1221,1273,1019,1060,1192,1087,1215,1308,1178,1524,1229,1153,1287,1158,979,74,714,1282,2506.05,31.19,100.0548135
2001.1.13,1165,1169,1168,1243,1135,1212,0,1168,1126,1125,1096,1171,1180,1221,1273,1019,1060,1192,1087,1215,1308,1178,1524,1229,1153,1287,1158,979,74,714,1282,2506.05,31.19,100.0602965
2001.1.14,1165,1169,1168,1243,1135,1212,0,1168,1126,1125,1096,1171,1180,1221,1273,1019,1060,1192,1087,1215,1308,1178,1524,1229,1153,1287,1158,979,74,714,1282,2506.05,31.19,100.0657798
2001.1.15,1197,1236,1223,1234,1200,1201,0,1219,1126,1166,1083,1211,1198,1229,1312,1024,1077,1219,1106,1212,1325,1188,1538,1271,1186,1287,1173,973,76,765,1286,2506.05,31.19,100.0712634
2001.1.16,1213,1149,1221,1196,1198,1195,0,1241,1117,1150,1101,1202,1169,1217,1316,1009,1055,1217,1128,1234,1443,1225,1590,1277,1255,1259,1158,962,76,777,1283,2470.72,32.19,100.0767473
2001.1.17,1193,1103,1216,1151,1150,1158,0,1180,1103,1114,1110,1195,1115,1167,1272,1014,1069,1246,1112,1190,1377,1198,1534,1245,1267,1152,1121,973,75,750,1278,2558.67,31.94,100.0822315
2001.1.18,1212,1131,1244,1206,1156,1150,0,1187,1094,1150,1145,1246,1117,1161,1264,1019,1043,1198,1121,1222,1412,1176,1436,1239,1318,1170,1122,978,76,746,1285,2670.47,32.06,100.087716
2001.1.19,1251,1139,1311,1260,1152,1151,0,1254,1111,1187,1197,1325,1155,1192,1284,1022,1059,1193,1103,1223,1437,1205,1475,1309,1382,1199,1158,992,79,772,1274,2655.68,31.19,100.0932009
2001.1.20,1251,1139,1311,1260,1152,1151,0,1254,1111,1187,1197,1325,1155,1192,1284,1022,1059,1193,1103,1223,1437,1205,1475,1309,1382,1199,1158,992,79,772,1274,2655.68,31.19,100.098686
2001.1.21,1251,1139,1311,1260,1152,1151,0,1254,1111,1187,1197,1325,1155,1192,1284,1022,1059,1193,1103,1223,1437,1205,1475,1309,1382,1199,1158,992,79,772,1274,2655.68,31.19,100.1041714
2001.1.22,1277,1144,1349,1250,1214,1303,0,1278,1150,1234,1211,1347,1199,1193,1288,1033,1055,1222,1123,1266,1487,1237,1488,1331,1373,1199,1168,996,79,833,1274,2643.13,30.94,100.1096571
2001.1.23,1277,1144,1349,1250,1214,1303,0,1278,1150,1234,1211,1347,1199,1193,1288,1033,1055,1222,1123,1266,1487,1237,1488,1331,1373,1199,1168,996,79,833,1274,2730.05,31.62,100.1151431
2001.1.24,1277,1144,1349,1250,1214,1303,0,1278,1150,1234,1211,1347,1199,1193,1288,1033,1055,1222,1123,1266,1487,1237,1488,1331,1373,1199,1168,996,79,833,1275,2726.45,32,100.1206294
2001.1.25,1277,1144,1349,1250,1214,1303,0,1278,1150,1234,1211,1347,1199,1193,1288,1033,1055,1222,1123,1266,1487,1237,1488,1331,1373,1199,1168,996,79,833,1277,2595.85,32.38,100.126116
2001.1.26,1201,1079,1237,1248,1186,1311,0,1200,1132,1158,1171,1239,1140,1200,1266,1008,1021,1203,1082,1271,1394,1163,1484,1268,1203,1159,1097,994,75,800,1281,2631.78,32.56,100.1316029
2001.1.27,1201,1079,1237,1248,1186,1311,0,1200,1132,1158,1171,1239,1140,1200,1266,1008,1021,1203,1082,1271,1394,1163,1484,1268,1203,1159,1097,994,75,800,1281,2631.78,32.56,100.1370901
2001.1.28,1201,1079,1237,1248,1186,1311,0,1200,1132,1158,1171,1239,1140,1200,1266,1008,1021,1203,1082,1271,1394,1163,1484,1268,1203,1159,1097,994,75,800,1281,2631.78,32.56,100.1425776
2001.1.29,1209,1102,1238,1268,1217,1435,0,1242,1175,1179,1190,1257,1166,1208,1286,1015,1045,1209,1072,1266,1399,1168,1486,1281,1212,1159,1091,1004,75,814,1265,2694.53,32.14,100.1480655
2001.1.30,1201,1108,1257,1133,1200,1357,0,1249,1179,1169,1178,1267,1168,1231,1296,1021,1065,1224,1062,1249,1374,1199,1477,1290,1238,1195,1067,1021,74,828,1265,2686.14,33.3,100.1535536
2001.1.31,1257,1154,1275,1247,1218,1392,0,1281,1176,1184,1219,1320,1166,1316,1316,1029,1061,1236,1118,1316,1501,1218,1557,1321,1315,1232,1103,1065,78,844,1257,2593,34.3,100.159042
2001.2.1,1242,1130,1253,1255,1182,1348,0,1298,1146,1177,1227,1298,1149,1278,1333,1032,1087,1224,1123,1296,1440,1193,1529,1300,1274,1207,1102,1045,77,827,1257,2607.16,34.11,100.1645307
2001.2.2,1235,1110,1243,1253,1178,1331,0,1281,1137,1152,1194,1279,1133,1281,1305,1041,1068,1272,1104,1281,1436,1202,1515,1294,1276,1196,1094,1046,77,827,1250,2472.18,33.79,100.1700197
2001.2.3,1235,1110,1243,1253,1178,1331,0,1281,1137,1152,1194,1279,1133,1281,1305,1041,1068,1272,1104,1281,1436,1202,1515,1294,1276,1196,1094,1046,77,827,1250,2472.18,33.79,100.175509
2001.2.4,1235,1110,1243,1253,1178,1331,0,1281,1137,1152,1194,1279,1133,1281,1305,1041,1068,1272,1104,1281,1436,1202,1515,1294,1276,1196,1094,1046,77,827,1250,2472.18,33.79,100.1809987
2001.2.5,1170,1037,1189,1200,1123,1213,0,1230,1090,1098,1164,1215,1112,1271,1272,1020,1037,1262,1062,1198,1317,1179,1506,1262,1198,1196,1059,989,73,780,1262,2467.3,33.39,100.1864886
2001.2.6,1185,1087,1204,1193,1140,1241,0,1259,1107,1094,1184,1234,1136,1289,1297,1028,1092,1274,1074,1218,1343,1178,1581,1298,1193,1201,1073,1029,74,797,1258,2473.24,32.6,100.1919788
2001.2.7,1162,1089,1201,1189,1128,1237,0,1220,1088,1070,1178,1209,1107,1272,1272,1006,1105,1245,1066,1187,1312,1162,1530,1265,1161,1168,1047,1017,72,778,1264,2409.66,33.65,100.1974693
2001.2.8,1195,1121,1232,1194,1134,1255,0,1256,1111,1087,1202,1241,1134,1302,1290,1020,1133,1266,1092,1221,1360,1166,1578,1299,1208,1175,1079,1047,75,798,1266,2355.67,32.11,100.2029601
2001.2.9,1206,1145,1281,1209,1152,1270,0,1263,1114,1094,1227,1272,1148,1294,1298,1020,1121,1286,1119,1268,1435,1181,1614,1324,1208,1186,1062,1055,75,807,1264,2261.77,32.21,100.2084513
2001.2.10,1206,1145,1281,1209,1152,1270,0,1263,1114,1094,1227,1272,1148,1294,1298,1020,1121,1286,1119,1268,1435,1181,1614,1324,1208,1186,1062,1055,75,807,1264,2261.77,32.21,100.2139427
2001.2.11,1206,1145,1281,1209,1152,1270,0,1263,1114,1094,1227,1272,1148,1294,1298,1020,1121,1286,1119,1268,1435,1181,1614,1324,1208,1186,1062,1055,75,807,1264,2261.77,32.21,100.2194344
2001.2.12,1216,1144,1296,1241,1159,1263,0,1278,1119,1094,1244,1265,1166,1332,1307,1030,1120,1334,1130,1274,1462,1211,1699,1345,1184,1238,1080,1073,75,831,1264,2286.85,31.5,100.2249264
2001.2.13,1217,1142,1291,1247,1172,1265,0,1281,1144,1111,1277,1276,1227,1373,1333,1031,1108,1312,1112,1268,1507,1242,1730,1359,1187,1359,1056,1093,75,841,1254,2208.4,31.44,100.2304188
2001.2.14,1230,1141,1303,1264,1198,1335,0,1291,1165,1137,1319,1302,1250,1362,1399,1030,1143,1313,1146,1338,1539,1272,1748,1379,1188,1348,1055,1095,76,853,1252,2305.82,31.4,100.2359114
