일자,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금등,"국가,지자체",기타법인,사모펀드
1998-03-31,-30.0,16.0,-66.0,-69.0,16.0,0.0,-13.0,0.0,0.0,79.0,0.0,0.0
1998-04-30,797.0,1168.0,-2249.0,-1060.0,376.0,-504.0,-1057.0,0.0,0.0,261.0,0.0,0.0
1998-05-31,3283.0,339.0,-3881.0,-2211.0,457.0,-891.0,-1232.0,0.0,0.0,129.0,0.0,0.0
1998-06-30,6510.0,-3041.0,-5266.0,-2701.0,267.0,-1242.0,-1578.0,0.0,0.0,123.0,0.0,0.0
1998-07-31,9885.0,-3112.0,-9551.0,-4476.0,119.0,-2425.0,-2746.0,0.0,0.0,505.0,0.0,0.0
1998-08-31,12791.0,-3780.0,-12609.0,-5287.0,-28.0,-3258.0,-4000.0,0.0,0.0,1067.0,0.0,0.0
1998-09-30,13059.0,-2626.0,-14526.0,-3925.0,119.0,-4738.0,-5932.0,0.0,0.0,859.0,0.0,0.0
1998-10-31,7670.0,3906.0,-16258.0,-3353.0,-291.0,-3738.0,-8816.0,0.0,0.0,756.0,0.0,0.0
1998-11-30,7055.0,9610.0,-22081.0,-1505.0,-2538.0,-5955.0,-12013.0,0.0,0.0,743.0,0.0,0.0
1998-12-31,11740.0,12067.0,-26900.0,-1723.0,-2820.0,-6793.0,-15484.0,0.0,0.0,1498.0,0.0,0.0
1999-01-31,12438.0,24705.0,-32449.0,-6288.0,-6639.0,-1079.0,-18346.0,0.0,0.0,-3862.0,0.0,0.0
1999-02-28,13639.0,25334.0,-35731.0,-8576.0,-7342.0,-1376.0,-18336.0,0.0,0.0,-3499.0,0.0,0.0
1999-03-31,8177.0,29774.0,-33754.0,-8339.0,-10945.0,7347.0,-21718.0,0.0,0.0,-3555.0,0.0,0.0
1999-04-30,-1541.0,39969.0,-25880.0,-14220.0,-15804.0,29120.0,-24873.0,0.0,0.0,-4427.0,0.0,0.0
1999-05-31,-2714.0,39186.0,-19830.0,-21083.0,-19987.0,48310.0,-26967.0,0.0,0.0,-7279.0,0.0,0.0
1999-06-30,-4057.0,31993.0,-5450.0,-24148.0,-26242.0,74109.0,-29056.0,0.0,0.0,-10572.0,0.0,0.0
1999-07-31,-19971.0,15806.0,31008.0,-30323.0,-30697.0,127377.0,-35230.0,0.0,0.0,-12950.0,0.0,0.0
1999-08-31,-3656.0,655.0,19069.0,-31168.0,-33744.0,121394.0,-37286.0,0.0,0.0,-4748.0,0.0,0.0
1999-09-30,11195.0,-14459.0,27897.0,-31342.0,-35167.0,134651.0,-40117.0,0.0,0.0,-4922.0,0.0,0.0
1999-10-31,5214.0,-5465.0,30258.0,-33144.0,-34597.0,143245.0,-45118.0,0.0,0.0,-9663.0,0.0,0.0
1999-11-30,-7342.0,18000.0,24537.0,-33176.0,-37011.0,142698.0,-47842.0,0.0,0.0,-14249.0,0.0,0.0
1999-12-31,6597.0,27225.0,389.0,-31239.0,-33753.0,121147.0,-55630.0,0.0,0.0,-13804.0,0.0,0.0
2000-01-31,-8444.0,39137.0,619.0,-37862.0,-34745.0,126822.0,-53449.0,0.0,0.0,-10946.0,0.0,0.0
2000-02-29,-7326.0,50285.0,-14931.0,-36968.0,-36948.0,111587.0,-52456.0,0.0,0.0,-7704.0,0.0,0.0
2000-03-31,-31312.0,87184.0,-34187.0,-39003.0,-39826.0,89639.0,-44854.0,0.0,0.0,-1370.0,0.0,0.0
2000-04-30,-19797.0,87382.0,-46058.0,-40172.0,-40435.0,83769.0,-49069.0,0.0,0.0,-1211.0,0.0,0.0
2000-05-31,-17301.0,96220.0,-58499.0,-42361.0,-41611.0,73946.0,-48189.0,-496.0,371.0,-108.0,0.0,0.0
2000-06-30,-28775.0,121579.0,-72769.0,-39058.0,-43449.0,61031.0,-50074.0,-906.0,-157.0,275.0,0.0,0.0
2000-07-31,-29352.0,130814.0,-80214.0,-34092.0,-44026.0,51667.0,-52754.0,-660.0,-193.0,-938.0,0.0,0.0
2000-08-31,-36463.0,144112.0,-84574.0,-38021.0,-42322.0,47853.0,-52732.0,-599.0,1395.0,-2763.0,0.0,0.0
2000-09-30,-28152.0,134030.0,-81939.0,-40833.0,-38307.0,48341.0,-53617.0,-92.0,2706.0,-3627.0,0.0,0.0
2000-10-31,-21588.0,130301.0,-86212.0,-41514.0,-38362.0,47458.0,-57189.0,435.0,3102.0,-2184.0,0.0,0.0
2000-11-30,-26029.0,136547.0,-89942.0,-42252.0,-39153.0,46807.0,-58419.0,40.0,3180.0,-269.0,0.0,0.0
2000-12-31,-31447.0,141098.0,-90217.0,-42220.0,-40268.0,49894.0,-60188.0,-804.0,3517.0,870.0,0.0,0.0
2001-01-31,-46479.0,168175.0,-98280.0,-42971.0,-40591.0,44850.0,-60237.0,-1519.0,2351.0,-3104.0,0.0,0.0
2001-02-28,-51755.0,171768.0,-98926.0,-43527.0,-40783.0,44690.0,-61806.0,-1438.0,4095.0,-777.0,0.0,0.0
2001-03-31,-50382.0,172180.0,-102793.0,-44415.0,-42382.0,44195.0,-63966.0,-1174.0,5109.0,1300.0,0.0,0.0
2001-04-30,-57883.0,183415.0,-105795.0,-44652.0,-43382.0,43437.0,-64219.0,-1498.0,4685.0,565.0,0.0,0.0
2001-05-31,-67550.0,193369.0,-110317.0,-44935.0,-43512.0,42737.0,-67307.0,-1484.0,4353.0,4798.0,0.0,0.0
2001-06-30,-62785.0,187381.0,-109982.0,-47616.0,-44910.0,46212.0,-67337.0,-1265.0,5106.0,5677.0,0.0,0.0
2001-07-31,-60696.0,182749.0,-107405.0,-49154.0,-47336.0,48362.0,-65327.0,-816.0,7023.0,5639.0,0.0,0.0
2001-08-31,-66293.0,186948.0,-106258.0,-50588.0,-46809.0,47894.0,-63539.0,-1248.0,8185.0,5888.0,0.0,0.0
2001-09-30,-63191.0,181906.0,-105000.0,-49083.0,-48544.0,49029.0,-63770.0,-893.0,8407.0,6564.0,0.0,0.0
2001-10-31,-67714.0,195851.0,-114421.0,-52934.0,-48644.0,45252.0,-65329.0,-933.0,8318.0,6565.0,0.0,0.0
2001-11-30,-76503.0,212096.0,-113729.0,-47920.0,-50028.0,38315.0,-60189.0,-1974.0,8237.0,-1583.0,0.0,0.0
2001-12-31,-73826.0,215544.0,-118010.0,-51847.0,-51216.0,36904.0,-60208.0,-1964.0,10489.0,-3427.0,0.0,0.0
2002-01-31,-71683.0,216826.0,-117699.0,-51824.0,-51030.0,33362.0,-56382.0,-2179.0,10524.0,-7161.0,0.0,0.0
2002-02-28,-77848.0,213541.0,-107331.0,-48856.0,-50961.0,39749.0,-56030.0,-2920.0,11852.0,-8076.0,0.0,0.0
2002-03-31,-73513.0,201714.0,-97948.0,-50499.0,-53171.0,51733.0,-55893.0,-3413.0,13464.0,-9967.0,0.0,0.0
2002-04-30,-65081.0,188046.0,-95586.0,-49115.0,-53300.0,53347.0,-57848.0,-3940.0,15432.0,-7097.0,0.0,0.0
2002-05-31,-63677.0,179852.0,-90367.0,-54701.0,-54020.0,63798.0,-57652.0,-4467.0,16836.0,-5526.0,0.0,0.0
2002-06-30,-55888.0,177400.0,-99924.0,-54596.0,-55603.0,65075.0,-66791.0,-4371.0,16530.0,-1302.0,0.0,0.0
2002-07-31,-52422.0,174112.0,-100570.0,-55478.0,-56894.0,65738.0,-66506.0,-4672.0,17412.0,-834.0,0.0,0.0
2002-08-31,-56842.0,162924.0,-95723.0,-54444.0,-56030.0,68770.0,-66502.0,-4581.0,17223.0,9924.0,0.0,0.0
2002-09-30,-49377.0,162694.0,-104540.0,-55660.0,-57804.0,63786.0,-66499.0,-5064.0,16868.0,11505.0,0.0,0.0
2002-10-31,-53784.0,167494.0,-107876.0,-54049.0,-57203.0,60106.0,-68224.0,-5286.0,16940.0,14449.0,0.0,0.0
2002-11-30,-71603.0,185662.0,-106738.0,-52543.0,-56387.0,59293.0,-68949.0,-5466.0,17476.0,12962.0,0.0,0.0
2002-12-31,-65187.0,186575.0,-109107.0,-52126.0,-56263.0,55416.0,-68861.0,-5740.0,18626.0,8003.0,0.0,0.0
2003-01-31,-54791.0,189755.0,-122304.0,-55551.0,-56862.0,49017.0,-70010.0,-6322.0,17593.0,7630.0,0.0,0.0
2003-02-28,-54528.0,183292.0,-117458.0,-55931.0,-57278.0,52539.0,-69563.0,-5991.0,18921.0,8983.0,0.0,0.0
2003-03-31,-51383.0,176126.0,-119042.0,-57181.0,-59994.0,54050.0,-68315.0,-6548.0,19098.0,14590.0,0.0,0.0
2003-04-30,-51961.0,168578.0,-113465.0,-55504.0,-61188.0,60434.0,-70958.0,-6639.0,20541.0,17134.0,0.0,0.0
2003-05-31,-65458.0,175455.0,-109977.0,-54095.0,-61378.0,61754.0,-71587.0,-7026.0,22513.0,20258.0,0.0,0.0
2003-06-30,-78491.0,198863.0,-123445.0,-55643.0,-61705.0,49294.0,-72485.0,-7109.0,24363.0,23348.0,0.0,0.0
2003-07-31,-92313.0,226635.0,-138457.0,-56282.0,-62485.0,36213.0,-73416.0,-7291.0,24960.0,24409.0,0.0,0.0
2003-08-31,-103752.0,246536.0,-148349.0,-56065.0,-62697.0,26915.0,-74604.0,-6647.0,24901.0,25841.0,0.0,0.0
2003-09-30,-100251.0,261937.0,-165862.0,-59810.0,-63215.0,16378.0,-75508.0,-8214.0,24670.0,24450.0,0.0,0.0
2003-10-31,-120632.0,295487.0,-179502.0,-57291.0,-64623.0,6837.0,-83152.0,-7138.0,26036.0,24923.0,0.0,0.0
2003-11-30,-119782.0,313659.0,-198657.0,-59355.0,-64342.0,-5776.0,-86173.0,-8891.0,26058.0,25059.0,0.0,0.0
2003-12-31,-123939.0,324233.0,-199055.0,-59795.0,-63999.0,-17068.0,-75496.0,-9995.0,27475.0,18986.0,0.0,0.0
2004-01-31,-134252.0,364730.0,-226117.0,-65207.0,-65266.0,-39517.0,-75681.0,-9285.0,29021.0,15934.0,0.0,0.0
2004-02-29,-143747.0,378448.0,-229328.0,-66871.0,-65798.0,-40333.0,-77604.0,-9219.0,30689.0,14951.0,0.0,0.0
2004-03-31,-149024.0,407204.0,-249639.0,-67029.0,-69911.0,-51062.0,-82887.0,-9866.0,31320.0,11656.0,0.0,0.0
2004-04-30,-153388.0,422029.0,-265255.0,-65836.0,-69015.0,-66180.0,-84740.0,-10275.0,30999.0,17111.0,0.0,0.0
2004-05-31,-147034.0,430500.0,-278631.0,-67857.0,-70047.0,-73186.0,-85279.0,-10475.0,28422.0,15590.0,0.0,0.0
2004-06-30,-147906.0,430610.0,-277170.0,-68229.0,-71077.0,-69171.0,-86428.0,-10756.0,28700.0,14855.0,0.0,0.0
2004-07-31,-150079.0,437430.0,-281809.0,-69324.0,-70824.0,-71558.0,-86411.0,-10906.0,27425.0,14934.0,0.0,0.0
2004-08-31,-167052.0,449970.0,-278708.0,-69526.0,-71482.0,-67847.0,-87073.0,-10910.0,28340.0,16446.0,0.0,0.0
2004-09-30,-176793.0,457784.0,-279374.0,-68126.0,-72028.0,-74824.0,-86603.0,-11178.0,33588.0,19092.0,0.0,0.0
