일자,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금등,"국가,지자체",기타법인,사모펀드
1998-03-31,-30.0,16.0,-66.0,-69.0,16.0,0.0,-13.0,0.0,0.0,79.0,0.0,0.0
1998-04-01,62.0,-11.0,1.0,-159.0,16.0,149.0,-5.0,0.0,0.0,-53.0,0.0,0.0
1998-04-02,163.0,-124.0,-11.0,-63.0,16.0,88.0,-51.0,0.0,0.0,-30.0,0.0,0.0
1998-04-03,338.0,-380.0,-7.0,-11.0,25.0,29.0,-49.0,0.0,0.0,46.0,0.0,0.0
1998-04-04,525.0,-600.0,6.0,-79.0,102.0,46.0,-60.0,0.0,0.0,74.0,0.0,0.0
1998-04-06,915.0,-567.0,-351.0,-421.0,191.0,-62.0,-57.0,0.0,0.0,8.0,0.0,0.0
1998-04-07,927.0,-558.0,-503.0,-498.0,195.0,-113.0,-85.0,0.0,0.0,138.0,0.0,0.0
1998-04-08,674.0,-134.0,-600.0,-560.0,206.0,-106.0,-138.0,0.0,0.0,65.0,0.0,0.0
1998-04-09,455.0,349.0,-865.0,-634.0,178.0,-165.0,-240.0,0.0,0.0,66.0,0.0,0.0
1998-04-10,451.0,406.0,-920.0,-642.0,180.0,-170.0,-283.0,0.0,0.0,67.0,0.0,0.0
1998-04-11,147.0,417.0,-719.0,-449.0,190.0,-42.0,-413.0,0.0,0.0,129.0,0.0,0.0
1998-04-13,-151.0,701.0,-785.0,-219.0,190.0,-112.0,-639.0,0.0,0.0,209.0,0.0,0.0
1998-04-14,-19.0,912.0,-1222.0,-572.0,211.0,-217.0,-639.0,0.0,0.0,302.0,0.0,0.0
1998-04-15,253.0,845.0,-1453.0,-646.0,183.0,-319.0,-665.0,0.0,0.0,329.0,0.0,0.0
1998-04-16,505.0,833.0,-1563.0,-835.0,227.0,-308.0,-643.0,0.0,0.0,200.0,0.0,0.0
1998-04-17,703.0,693.0,-1564.0,-836.0,239.0,-317.0,-646.0,0.0,0.0,145.0,0.0,0.0
1998-04-18,703.0,704.0,-1598.0,-838.0,280.0,-393.0,-644.0,0.0,0.0,168.0,0.0,0.0
1998-04-20,675.0,844.0,-1706.0,-886.0,299.0,-468.0,-648.0,0.0,0.0,166.0,0.0,0.0
1998-04-21,796.0,764.0,-1765.0,-866.0,337.0,-545.0,-687.0,0.0,0.0,185.0,0.0,0.0
1998-04-22,674.0,891.0,-1761.0,-834.0,338.0,-534.0,-728.0,0.0,0.0,176.0,0.0,0.0
1998-04-23,519.0,1137.0,-1836.0,-892.0,362.0,-550.0,-753.0,0.0,0.0,161.0,0.0,0.0
1998-04-24,616.0,1066.0,-1841.0,-956.0,373.0,-447.0,-808.0,0.0,0.0,140.0,0.0,0.0
1998-04-25,662.0,1083.0,-1924.0,-1033.0,378.0,-399.0,-866.0,0.0,0.0,160.0,0.0,0.0
1998-04-27,555.0,1106.0,-1879.0,-1060.0,380.0,-265.0,-931.0,0.0,0.0,197.0,0.0,0.0
1998-04-28,574.0,1163.0,-2086.0,-1226.0,372.0,-270.0,-958.0,0.0,0.0,327.0,0.0,0.0
1998-04-29,716.0,1163.0,-2129.0,-1089.0,371.0,-386.0,-1020.0,0.0,0.0,228.0,0.0,0.0
1998-04-30,797.0,1168.0,-2249.0,-1060.0,376.0,-504.0,-1057.0,0.0,0.0,261.0,0.0,0.0
